qald_id,sentence_en,pos-tags,noun_count,pos-complex(H/M/E),ner-tags,entity_count,ner-complex(H/M/E),list_type(Y/N),count_type(Y/N),entity-count,sentence_entities_grayed
37,Who developed Minecraft?,"[('Who', 'WP'), ('developed', 'VBD'), ('Minecraft', 'NNP'), ('?', '.')]",2,easy,"[('Who', 'O'), ('developed', 'O'), ('Minecraft', 'O'), ('?', 'O')]",tbd,easy,N,N,0.0,Who developed Minecraft ?
38,Where did Hillel Slovak die?,"[('Where', 'WRB'), ('did', 'VBD'), ('Hillel', 'NNP'), ('Slovak', 'NNP'), ('die', 'NN'), ('?', '.')]",3,medium,"[('Where', 'O'), ('did', 'O'), ('Hillel', 'PERSON'), ('Slovak', 'PERSON'), ('die', 'O'), ('?', 'O')]",tbd,medium,N,N,2.0,Where did $Hillel$ $Slovak$ die ?
39,What movies does Jesse Eisenberg play in?,"[('What', 'WP'), ('movies', 'NNS'), ('does', 'VBZ'), ('Jesse', 'NNP'), ('Eisenberg', 'NNP'), ('play', 'NN'), ('in', 'IN'), ('?', '.')]",5,hard,"[('What', 'O'), ('movies', 'O'), ('does', 'O'), ('Jesse', 'PERSON'), ('Eisenberg', 'PERSON'), ('play', 'O'), ('in', 'O'), ('?', 'O')]",tbd,medium,N,N,2.0,What movies does $Jesse$ $Eisenberg$ play in ?
40,Give all swimmers that were born in Moscow.,"[('Give', 'VB'), ('all', 'DT'), ('swimmers', 'NNS'), ('that', 'WDT'), ('were', 'VBD'), ('born', 'VBN'), ('in', 'IN'), ('Moscow', 'NNP'), ('.', '.')]",2,easy,"[('Give', 'O'), ('all', 'O'), ('swimmers', 'O'), ('that', 'O'), ('were', 'O'), ('born', 'O'), ('in', 'O'), ('Moscow', 'LOCATION'), ('.', 'O')]",tbd,easy,N,N,1.0,Give all swimmers that were born in $Moscow$ .
41,Give me all cosmonauts.,"[('Give', 'VB'), ('me', 'PRP'), ('all', 'DT'), ('cosmonauts', 'NNS'), ('.', '.')]",1,easy,"[('Give', 'O'), ('me', 'O'), ('all', 'O'), ('cosmonauts', 'O'), ('.', 'O')]",tbd,easy,Y,N,0.0,Give me all cosmonauts .
42,Give me all Swiss non-profit organizations.,"[('Give', 'VB'), ('me', 'PRP'), ('all', 'DT'), ('Swiss', 'JJ'), ('non-profit', 'JJ'), ('organizations', 'NNS'), ('.', '.')]",1,easy,"[('Give', 'O'), ('me', 'O'), ('all', 'O'), ('Swiss', 'O'), ('non-profit', 'O'), ('organizations', 'O'), ('.', 'O')]",tbd,easy,Y,N,0.0,Give me all Swiss non-profit organizations .
43,Which presidents were born in 1945?,"[('Which', 'JJ'), ('presidents', 'NNS'), ('were', 'VBD'), ('born', 'VBN'), ('in', 'IN'), ('1945', 'CD'), ('?', '.')]",1,easy,"[('Which', 'O'), ('presidents', 'O'), ('were', 'O'), ('born', 'O'), ('in', 'O'), ('1945', 'O'), ('?', 'O')]",tbd,easy,N,N,0.0,Which presidents were born in 1945 ?
44,What kind of music did Lou Reed play?,"[('What', 'WP'), ('kind', 'NN'), ('of', 'IN'), ('music', 'NN'), ('did', 'VBD'), ('Lou', 'NNP'), ('Reed', 'NNP'), ('play', 'NN'), ('?', '.')]",6,hard,"[('What', 'O'), ('kind', 'O'), ('of', 'O'), ('music', 'O'), ('did', 'O'), ('Lou', 'PERSON'), ('Reed', 'PERSON'), ('play', 'O'), ('?', 'O')]",tbd,medium,N,N,2.0,What kind of music did $Lou$ $Reed$ play ?
45,Where do the Red Sox play?,"[('Where', 'WRB'), ('do', 'VB'), ('the', 'DT'), ('Red', 'NNP'), ('Sox', 'NNP'), ('play', 'NN'), ('?', '.')]",3,medium,"[('Where', 'O'), ('do', 'O'), ('the', 'O'), ('Red', 'ORGANIZATION'), ('Sox', 'ORGANIZATION'), ('play', 'O'), ('?', 'O')]",tbd,medium,N,N,2.0,Where do the $Red$ $Sox$ play ?
46,Show a list of soccer clubs that play in the Bundesliga.,"[('Show', 'VB'), ('a', 'DT'), ('list', 'NN'), ('of', 'IN'), ('soccer', 'NN'), ('clubs', 'NNS'), ('that', 'WDT'), ('play', 'VBP'), ('in', 'IN'), ('the', 'DT'), ('Bundesliga', 'NNP'), ('.', '.')]",4,medium,"[('Show', 'O'), ('a', 'O'), ('list', 'O'), ('of', 'O'), ('soccer', 'O'), ('clubs', 'O'), ('that', 'O'), ('play', 'O'), ('in', 'O'), ('the', 'O'), ('Bundesliga', 'O'), ('.', 'O')]",tbd,easy,Y,N,0.0,Show a list of soccer clubs that play in the Bundesliga .
47,Which volcanos in Japan erupted since 2000?,"[('Which', 'JJ'), ('volcanos', 'NN'), ('in', 'IN'), ('Japan', 'NNP'), ('erupted', 'VBD'), ('since', 'IN'), ('2000', 'CD'), ('?', '.')]",2,easy,"[('Which', 'O'), ('volcanos', 'O'), ('in', 'O'), ('Japan', 'LOCATION'), ('erupted', 'O'), ('since', 'O'), ('2000', 'O'), ('?', 'O')]",tbd,easy,N,N,1.0,Which volcanos in $Japan$ erupted since 2000 ?
48,Which bridges cross the Seine?,"[('Which', 'NNP'), ('bridges', 'VBZ'), ('cross', 'VBP'), ('the', 'DT'), ('Seine', 'NNP'), ('?', '.')]",2,easy,"[('Which', 'O'), ('bridges', 'O'), ('cross', 'O'), ('the', 'O'), ('Seine', 'LOCATION'), ('?', 'O')]",tbd,easy,N,N,1.0,Which bridges cross the $Seine$ ?
49,What is the official color of the University of Oxford?,"[('What', 'WP'), ('is', 'VBZ'), ('the', 'DT'), ('official', 'JJ'), ('color', 'NN'), ('of', 'IN'), ('the', 'DT'), ('University', 'NNP'), ('of', 'IN'), ('Oxford', 'NNP'), ('?', '.')]",4,medium,"[('What', 'O'), ('is', 'O'), ('the', 'O'), ('official', 'O'), ('color', 'O'), ('of', 'O'), ('the', 'O'), ('University', 'ORGANIZATION'), ('of', 'ORGANIZATION'), ('Oxford', 'ORGANIZATION'), ('?', 'O')]",tbd,medium,N,N,3.0,What is the official color of the $University$ $of$ $Oxford$ ?
50,How many films did Hal Roach produce?,"[('How', 'WRB'), ('many', 'JJ'), ('films', 'NNS'), ('did', 'VBD'), ('Hal', 'NNP'), ('Roach', 'NNP'), ('produce', 'NN'), ('?', '.')]",4,medium,"[('How', 'O'), ('many', 'O'), ('films', 'O'), ('did', 'O'), ('Hal', 'PERSON'), ('Roach', 'PERSON'), ('produce', 'O'), ('?', 'O')]",tbd,medium,N,N,2.0,How many films did $Hal$ $Roach$ produce ?
51,Give me all Danish movies.,"[('Give', 'VB'), ('me', 'PRP'), ('all', 'DT'), ('Danish', 'JJ'), ('movies', 'NNS'), ('.', '.')]",1,easy,"[('Give', 'O'), ('me', 'O'), ('all', 'O'), ('Danish', 'O'), ('movies', 'O'), ('.', 'O')]",tbd,easy,Y,N,0.0,Give me all Danish movies .
52,What is the most frequent cause of death?,"[('What', 'WP'), ('is', 'VBZ'), ('the', 'DT'), ('most', 'RBS'), ('frequent', 'JJ'), ('cause', 'NN'), ('of', 'IN'), ('death', 'NN'), ('?', '.')]",3,medium,"[('What', 'O'), ('is', 'O'), ('the', 'O'), ('most', 'O'), ('frequent', 'O'), ('cause', 'O'), ('of', 'O'), ('death', 'O'), ('?', 'O')]",tbd,easy,N,N,0.0,What is the most frequent cause of death ?
53,Who are the four youngest MVP basketball players?,"[('Who', 'WP'), ('are', 'VBP'), ('the', 'DT'), ('four', 'CD'), ('youngest', 'JJS'), ('MVP', 'NNP'), ('basketball', 'NN'), ('players', 'NNS'), ('?', '.')]",4,medium,"[('Who', 'O'), ('are', 'O'), ('the', 'O'), ('four', 'O'), ('youngest', 'O'), ('MVP', 'O'), ('basketball', 'O'), ('players', 'O'), ('?', 'O')]",tbd,easy,N,N,0.0,Who are the four youngest MVP basketball players ?
54,Give me all companies in Munich.,"[('Give', 'VB'), ('me', 'PRP'), ('all', 'DT'), ('companies', 'NNS'), ('in', 'IN'), ('Munich', 'NNP'), ('.', '.')]",2,easy,"[('Give', 'O'), ('me', 'O'), ('all', 'O'), ('companies', 'O'), ('in', 'O'), ('Munich', 'LOCATION'), ('.', 'O')]",tbd,easy,Y,N,1.0,Give me all companies in $Munich$ .
55,Give me the capitals of all countries that the Himalayas run through.,"[('Give', 'VB'), ('me', 'PRP'), ('the', 'DT'), ('capitals', 'NNS'), ('of', 'IN'), ('all', 'DT'), ('countries', 'NNS'), ('that', 'IN'), ('the', 'DT'), ('Himalayas', 'NNP'), ('run', 'NN'), ('through', 'IN'), ('.', '.')]",4,medium,"[('Give', 'O'), ('me', 'O'), ('the', 'O'), ('capitals', 'O'), ('of', 'O'), ('all', 'O'), ('countries', 'O'), ('that', 'O'), ('the', 'O'), ('Himalayas', 'LOCATION'), ('run', 'O'), ('through', 'O'), ('.', 'O')]",tbd,easy,N,N,1.0,Give me the capitals of all countries that the $Himalayas$ run through .
56,How many movies did Park Chan-wook direct?,"[('How', 'WRB'), ('many', 'JJ'), ('movies', 'NNS'), ('did', 'VBD'), ('Park', 'NNP'), ('Chan-wook', 'NNP'), ('direct', 'NN'), ('?', '.')]",4,medium,"[('How', 'O'), ('many', 'O'), ('movies', 'O'), ('did', 'O'), ('Park', 'O'), ('Chan-wook', 'O'), ('direct', 'O'), ('?', 'O')]",tbd,easy,N,N,0.0,How many movies did Park Chan-wook direct ?
57,Which rivers flow into a German lake?,"[('Which', 'JJ'), ('rivers', 'VBZ'), ('flow', 'VBP'), ('into', 'IN'), ('a', 'DT'), ('German', 'JJ'), ('lake', 'NN'), ('?', '.')]",1,easy,"[('Which', 'O'), ('rivers', 'O'), ('flow', 'O'), ('into', 'O'), ('a', 'O'), ('German', 'O'), ('lake', 'O'), ('?', 'O')]",tbd,easy,N,N,0.0,Which rivers flow into a German lake ?
