qald_id,sentence_en,pos-complex(H/M/E),noun-count,ner-complex(H/M/E),list_type(Y/N),count_type(Y/N)
183,Give me all soccer clubs in Spain.,medium,3,easy,Y,N
184,Who produced films starring Natalie Portman?,hard,4,easy,N,N
185,Give me all breeds of the German Shepherd dog.,medium,3,easy,Y,N
186,Who is the heaviest player of the Chicago Bulls?,hard,4,easy,N,N
187,Which languages are spoken in Estonia?,easy,2,easy,N,N
188,What is the largest country in the world?,medium,3,easy,N,N
189,What is the largest city in america?,medium,3,easy,N,N
190,Who was the pope that founded the Vatican Television?,hard,4,easy,N,N
191,Who discovered Ceres?,easy,2,easy,N,N
192,Who is the king of the Netherlands?,medium,3,easy,N,N
193,Is Cola a beverage?,easy,2,easy,N,N
194,What is the alma mater of the chancellor of Germany Angela Merkel?,hard,6,easy,N,N
195,Who wrote the book Les Piliers de la terre?,hard,4,easy,N,N
196,Which airports does Yeti Airlines serve?,medium,3,easy,N,N
197,Where is the birthplace of Goethe?,easy,2,easy,N,N
198,Was the Cuban Missile Crisis earlier than the Bay of Pigs Invasion?,hard,6,easy,N,N
199,Which ingredients do I need for carrot cake?,medium,3,easy,N,N
200,Who created Wikipedia?,easy,2,easy,N,N
201,What is the highest mountain in Saxony Germany?,hard,4,easy,N,N
202,Who is the current federal minister of finance in Germany?,hard,4,easy,N,N
203,In which country is Mecca located?,easy,2,easy,N,N
204,Who played Gus Fring in Breaking Bad?,hard,5,easy,N,N
205,In which country does the Nile start?,medium,3,easy,N,N
206,In which state Penn State University is located?,hard,4,easy,N,N
207,What is the biggest stadium in Spain?,medium,3,easy,N,N
208,Who is the coach of Ankara's ice hockey team?,hard,6,easy,N,N
209,How large is the area of UK?,easy,2,easy,N,N
210,Who created Batman?,easy,2,easy,N,N
211,Was Sigmund Freud married?,medium,3,easy,N,N
212,Who are the developers of DBpedia?,medium,3,easy,N,N
213,Give me all movies directed by Francis Ford Coppola.,hard,4,easy,Y,N
214,Are tree frogs a type of amphibian?,medium,3,easy,N,N
215,What is the location of the Houses of Parliament?,hard,4,easy,N,N
216,how much is the elevation of Düsseldorf Airport ?,medium,3,easy,N,N
217,How much is the population of mexico city ?,easy,2,easy,N,N
218,when was the founding date of french fifth republic?,easy,2,easy,N,N
219,Who was the first King of England?,medium,3,easy,N,N
220,Who is the editor of Forbes?,medium,3,easy,N,N
221,Which awards did Douglas Hofstadter win?,medium,3,easy,N,N
222,Who is the youngest Darts player?,medium,3,easy,N,N
223,Is horse racing a sport?,easy,2,easy,N,N
224,Which river does the Brooklyn Bridge cross?,hard,4,easy,N,N
225,How many people live in Poland?,easy,2,easy,N,N
226,When was the last episode of the TV series Friends aired?,hard,4,easy,N,N
227,Is the wife of president Obama called Michelle?,hard,4,easy,N,N
229,Who is 8th president of US?,medium,3,easy,N,N
230,how much is the total population of  european union?,easy,2,easy,N,N
231,Give me all launch pads operated by NASA.,easy,2,easy,Y,N
232,Who developed the video game World of Warcraft?,hard,5,easy,N,N
233,What is the birth name of Adele?,hard,4,easy,N,N
234,What is the population of Cairo?,medium,3,easy,N,N
235,Is Frank Herbert still alive?,easy,2,easy,N,N
236,What is the last work of Dan Brown?,hard,4,easy,N,N
237,Where is Sungkyunkwan University?,easy,2,easy,N,N
238,Who is the author of the interpretation of dreams?,hard,4,easy,N,N
239,When was the death  of  Shakespeare?,easy,2,easy,N,N
241,Who developed Slack?,easy,2,easy,N,N
242,Where is the origin of Carolina reaper?,medium,3,easy,N,N
243,In which year was Rachel Stevens born?,medium,3,easy,N,N
244,How often did Jane Fonda marry?,medium,3,easy,N,N
245,Was the wife of president Lincoln called Mary?,hard,4,easy,N,N
246,Which cities does the Weser flow through?,medium,3,easy,N,N
247,In which programming language is GIMP written?,easy,2,easy,N,N
248,Which university did Angela Merkel attend?,hard,5,easy,N,N
249,List all the musicals with music by Elton John.,hard,5,easy,Y,N
250,How many Aldi stores are there?,easy,2,easy,N,N
251,What is the longest river in the world?,medium,3,easy,N,N
252,When was John Adams born?,easy,2,easy,N,N
253,Which companies produce hovercrafts?,easy,2,easy,N,N
254,Who was the wife of U.S. president Lincoln?,hard,5,easy,N,N
255,Which species does an elephant belong?,easy,2,easy,N,N
256,How many people live in the capital of Australia?,medium,3,easy,N,N
257,In which ancient empire could you pay with cocoa beans?,hard,4,easy,N,N
258,How many theories did Albert Einstein come up with?,medium,3,easy,N,N
259,Who composed the soundtrack for Cameron's Titanic?,hard,4,easy,N,N
260,Give me the runtime of Toy Story.,medium,3,easy,N,N
262,With how many countries Iran has borders?,medium,3,easy,N,N
263,Which electronics companies were founded in Beijing?,medium,3,easy,N,N
264,Who was the successor of John F. Kennedy?,hard,5,easy,N,N
265,Who is the mayor of Paris?,medium,3,easy,N,N
266,Did Arnold Schwarzenegger attend a university?,hard,4,easy,N,N
267,Is James Bond married?,easy,2,easy,N,N
268,Does the Isar flow into a lake?,medium,3,easy,N,N
269,Which Indian company has the most employees?,easy,2,easy,N,N
270,Who was John F. Kennedy's vice president?,hard,6,easy,N,N
271,Which country does the creator of Miffy come from?,medium,3,easy,N,N
273,In what city is the Heineken brewery?,hard,4,easy,N,N
274,Is Barack Obama a democrat?,medium,3,easy,N,N
275,List the children of Margaret Thatcher.,medium,3,easy,Y,N
276,From which region is the Melon de Bourgogne?,medium,3,easy,N,N
278,how big is the total area of North Rhine- Westphalia?,hard,4,easy,N,N
279,Which city has the most inhabitants?,medium,3,easy,N,N
280,What is Donald Trump's main business?,hard,4,easy,N,N
281,When will start the final match of the football world cup 2018?,hard,4,easy,N,N
282,Which films did Stanley Kubrick direct?,hard,4,easy,N,N
283,how much is the population  Iraq?,easy,2,easy,N,N
284,How many inhabitants does the largest city in Canada have?,medium,3,easy,N,N
285,Who is the mayor of the capital of French Polynesia?,hard,4,easy,N,N
286,Give me all actors starring in movies directed by William Shatner.,hard,4,easy,Y,N
287,How tall is Claudia Schiffer?,easy,2,easy,N,N
288,how much is the population densty rank of germany?,medium,3,easy,N,N
289,What is the highest mountain in Italy?,medium,3,easy,N,N
290,List all games by GMT.,medium,3,easy,Y,N
291,What is the official language of Suriname?,medium,3,easy,N,N
292,In which city did Nikos Kazantzakis die?,hard,4,easy,N,N
293,What is in a chocolate chip cookie?,hard,4,easy,N,N
294,In which country is the Limerick Lake?,medium,3,easy,N,N
295,Give me all video games published by Mean Hamster Software.,hard,4,easy,Y,N
296,Give me all members of Prodigy.,easy,2,easy,Y,N
297,In which time zone is Rome?,medium,3,easy,N,N
298,How high is the lighthouse in Colombo?,easy,2,easy,N,N
299,Who are the writers of the Wall album of Pink Floyd?,hard,6,easy,N,N
300,Who is the mayor of Rotterdam?,medium,3,easy,N,N
301,What is the largest city in Australia?,medium,3,easy,N,N
302,Who was married to president Chirac?,medium,3,easy,N,N
303,What form of government is found in South Africa?,hard,5,easy,N,N
304,How high is the Yokohama Marine Tower?,medium,3,easy,N,N
305,Which holidays are celebrated around the world? test2,hard,4,easy,N,N
306,Who is the tallest basketball player?,medium,3,easy,N,N
307,How many languages are spoken in Turkmenistan?,easy,2,easy,N,N
308,Did Che Guevara have children?,hard,4,easy,N,N
309,Did Kaurismäki ever win the Grand Prix at Cannes?,hard,5,easy,N,N
310,To which party does the mayor of Paris belong?,hard,4,easy,N,N
311,Who is the Formula 1 race driver with the most races?,hard,5,easy,N,N
312,What country is Sitecore from?,easy,2,easy,N,N
313,Give me the birth place of Frank Sinatra.,medium,3,easy,N,N
314,Is Christian Bale starring in Velvet Goldmine?,hard,4,easy,N,N
315,Who is the son of Sonny and Cher?,hard,4,easy,N,N
316,How many ethnic groups live in Slovenia?,easy,2,easy,N,N
317,What is the capital of Cameroon?,medium,3,easy,N,N
318,Was Natalie Portman born in the United States?,hard,5,medium,N,N
319,How many pages does War and Peace have?,medium,3,easy,N,N
320,Who is the oldest child of Meryl Streep?,hard,4,easy,N,N
321,Which television shows were created by Walt Disney?,hard,4,easy,N,N
322,What does IYCM stand for?,easy,2,easy,N,N
323,Which types of grapes grow in Oregon?,medium,3,easy,N,N
324,Was U.S. president Jackson involved in a war?,hard,5,easy,N,N
325,When was the Titanic completed?,easy,1,easy,N,N
326,Did Tesla win a nobel prize in physics?,hard,4,easy,N,N
327,How many states are in Mexico?,easy,2,easy,N,N
328,Which scientist is known for the Manhattan Project and the Nobel Peace Prize?,hard,6,easy,N,N
329,How much did the Lego Movie cost?,medium,3,easy,N,N
330,Who composed the music for Harold and Maude?,hard,4,easy,N,N
331,List all episodes of the first season of the HBO television series The Sopranos.,hard,7,easy,Y,N
332,Which city has the least inhabitants?,medium,3,easy,N,N
333,Where is Syngman Rhee buried?,easy,2,easy,N,N
334,Does Neymar play for Real Madrid?,hard,4,easy,N,N
335,Who wrote the book The Pillars of the Earth?,hard,4,easy,N,N
336,Do Prince Harry and Prince William have the same parents?,hard,5,easy,N,N
337,Who was the doctoral supervisor of Albert Einstein?,hard,4,easy,N,N
338,Does Breaking Bad have more episodes than Game of Thrones?,hard,4,easy,N,N
339,Who was Vincent van Gogh inspired by?,hard,4,easy,N,N
340,Which building after the Burj Khalifa has the most floors?,hard,5,easy,N,N
341,What was the final result of the War of the Roses?,hard,4,easy,N,N
342,How much did Pulp Fiction cost?,medium,3,easy,N,N
343,Is proinsulin a protein?,easy,1,easy,N,N
344,Do Urdu and Persian have a common root?,medium,3,easy,N,N
345,Who is starring in Spanish movies produced by Benicio del Toro?,hard,4,easy,N,N
346,Is Lake Baikal bigger than the Great Bear Lake?,hard,4,hard,N,N
347,Show me all books in Asimov's Foundation series.,hard,4,easy,N,N
348,Where was Bach born?,easy,2,easy,N,N
349,Which city has the oldest running metro?,medium,3,easy,N,N
350,Who designed the Brooklyn Bridge?,medium,3,easy,N,N
351,How many people live in Eurasia?,easy,2,easy,N,N
352,Who is the host of the BBC Wildlife Specials?,hard,5,easy,N,N
353,"What is the total population of Melbourne, Florida?",hard,4,easy,N,N
354,What country is Mount Everest in?,hard,4,easy,N,N
355,To which artistic movement did the painter of The Three Dancers belong?,hard,4,easy,N,N
356,When did Operation Overlord commence?,medium,3,easy,N,N
357,What is the bridge with the longest span?,medium,3,easy,N,N
358,Is there a video game called Battle Chess?,hard,4,easy,N,N
359,Who was buried in the Great Pyramid of Giza?,hard,4,easy,N,N
360,Does the Ford Motor Company have a manufacturing plant in Malaysia?,hard,6,medium,N,N
361,Did Socrates influence Aristotle?,hard,4,easy,N,N
362,How many children did Benjamin Franklin have?,medium,3,easy,N,N
363,How tall is Michael Jordan?,easy,2,easy,N,N
364,In which UK city are the headquarters of the MI6?,hard,4,easy,N,N
365,Who created Family Guy?,medium,3,easy,N,N
366,In which city does the Chile Route 68 end?,hard,4,easy,N,N
367,Give me the grandchildren of Elvis Presley.,medium,3,easy,N,N
368,When did the Ming dynasty dissolve?,medium,3,easy,N,N
369,In which military conflicts did Lawrence of Arabia participate?,medium,3,easy,N,N
370,What is the timezone in San Pedro de Atacama?,hard,5,medium,N,N
371,Give me all books by William Goldman with more than 300 pages.,hard,4,easy,Y,N
372,What did Bruce Carver die from?,hard,4,easy,N,N
373,Which subsidiary of Lufthansa serves both Dortmund and Berlin Tegel?,hard,5,easy,N,N
374,Does Abraham Lincoln's death place have a website?,hard,6,easy,N,N
375,Did Elvis Presley have children?,hard,4,easy,N,N
376,Is Michelle Obama the wife of Barack Obama?,hard,5,medium,N,N
377,In which city does Sylvester Stallone live?,hard,4,easy,N,N
378,Which books by Kerouac were published by Viking Press?,medium,3,easy,N,N
379,Who wrote the song Hotel California?,medium,3,easy,N,N
380,What is the capital of Canada?,medium,3,easy,N,N
381,Who is the mayor of Tel Aviv?,hard,4,easy,N,N
382,What form of government does Russia have?,hard,4,easy,N,N
383,Show me the book that Muhammad Ali wrote.,medium,3,easy,N,N
384,Who was the first to climb Mount Everest?,medium,3,easy,N,N
385,How many languages are spoken in Colombia?,easy,2,easy,N,N
386,What is the currency of the Czech Republic?,hard,4,easy,N,N
387,Where in France is sparkling wine produced?,easy,2,easy,N,N
388,When did Boris Becker end his active career?,medium,3,easy,N,N
389,Which movies starring Mickey Rourke were directed by Guy Ritchie?,hard,5,medium,N,N
390,In which films did Julia Roberts as well as Richard Gere play?,hard,5,medium,N,N
391,Show me Hemingway's autobiography.,easy,2,easy,N,N
392,How tall is Amazon Eve?,easy,2,easy,N,N
393,What are the five boroughs of New York?,hard,4,easy,N,N
394,Give me all Canadian Grunge record labels.,medium,3,easy,Y,N
395,In which country does the Ganges start?,medium,3,easy,N,N
396,Who is the founder of Penguin Books?,hard,4,easy,N,N
397,Who wrote the Game of Thrones theme?,hard,4,easy,N,N
398,Who is the president of Eritrea?,medium,3,easy,N,N
399,In which city did John F. Kennedy die?,hard,5,easy,N,N
400,What is the highest mountain in Australia?,medium,3,easy,N,N
401,Who writes the Farmers' Almanac?,medium,3,easy,N,N
402,Give me the currency of China.,easy,2,easy,N,N
403,Give me all Swedish oceanographers.,easy,1,easy,Y,N
404,In which city are the headquarters of the United Nations?,hard,4,easy,N,N
405,Is Rita Wilson the wife of Tom Hanks?,hard,5,medium,N,N
406,In which countries do people speak Japanese?,easy,2,easy,N,N
407,Which of Tim Burton's films had the highest budget?,hard,5,easy,N,N
408,Which museum in New York has the most visitors?,hard,4,easy,N,N
409,What was the first Queen album?,medium,3,easy,N,N
410,What was the first name of the band Queens of the Stone Age?,hard,6,easy,N,N
411,What was the last movie with Alec Guinness?,hard,4,easy,N,N
412,Give me all actors starring in Last Action Hero.,medium,3,easy,Y,N
413,Who discovered Pluto?,easy,2,easy,N,N
