ID	Original Question	ori_ans_uri	ori_ans_label	correct	Paraphrasing 1	pp1_ans_uri	pp1_ans_label	pp1_ori_match	Paraphrasing 2	pp2_ans_uri	pp2_ans_label	pp2_ori_match	SPARQL Query
Q93	When did the Boston Tea Party take place ?			returned no answer	In which year did the Boston Tea Party happen?			returned no answer	Boston Tea Party happened on which date ?			returned no answer	SELECT DISTINCT ?d WHERE { <http://dbpedia.org/resource/Boston_Tea_Party> <http://dbpedia.org/property/date> ?d }
Q68	Show me the book that Muhammad Ali wrote .	http://www.wikidata.org/entity/Q24963339	The Greatest: My Own Story	1	Show me the book that was written by Muhammad Ali.	http://www.wikidata.org/entity/Q24963339	The Greatest: My Own Story	1	Which book was written by Muhammad Ali ?	http://www.wikidata.org/entity/Q24963339	The Greatest: My Own Story	1	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT DISTINCT ?uri WHERE { ?uri rdf:type dbo:Book ; dbo:author res:Muhammad_Ali }
Q70	Which movies starring Mickey Rourke were directed by Guy Ritchie ?			returned no answer	Which movies were directed by Guy Ritchie with Mickey Rourke being an actor in them?			returned no answer	Which movie was directed by Guy Ritchie with lead role of Mickey Rourke ?			returned no answer	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT DISTINCT ?uri WHERE { ?uri rdf:type dbo:Film ; dbo:starring res:Mickey_Rourke ; dbo:director res:Guy_Ritchie }
Q61	Does the Ford Motor Company have a manufacturing plant in Malaysia ?	http://www.wikidata.org/entity/Q1144312	passenger car	0	Is there any manufacturing plant of Ford Motor Company in Malaysia?	http://www.wikidata.org/entity/Q1144312	passenger car	1	Does Malaysia have Ford Motor Company manufacturing plant?	key exception	key exception	0	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX dbr: <http://dbpedia.org/resource/> ASK WHERE { ?uri dbo:assembly dbr:Malaysia ; dbo:manufacturer dbr:Ford_Motor_Company }
Q9	Give me all books written by Danielle Steel .			returned no answer	what all books  Danielle Steel authored?	http://www.wikidata.org/entity/Q10381720	The Promise	0	What are the books authored by Danielle Steel ?	http://www.wikidata.org/entity/Q10306884	Jewels	0	SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Book> ; <http://dbpedia.org/ontology/author> <http://dbpedia.org/resource/Danielle_Steel> }
Q36	Where is Sungkyunkwan University ?	http://www.wikidata.org/entity/Q41085	Sungkyunkwan University	0	Where Sungkyunkwan University is located ?	http://www.wikidata.org/entity/Q1011953	Burg Giebichenstein University of Art and Design Halle	0	Sungkyunkwan University is loacated at which place?	http://www.wikidata.org/entity/Q1011953	Burg Giebichenstein University of Art and Design Halle	0	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX dbr: <http://dbpedia.org/resource/> SELECT DISTINCT ?country WHERE { dbr:Sungkyunkwan_University dbo:city ?city ; dbo:country ?country }
Q4	Show me all museums in London .	http://www.wikidata.org/entity/Q25893856	Antiquarian Museum, Caerleon	1	list all the mmuseums in  London .	http://www.wikidata.org/entity/Q84	London	0	Give me a list of all museums in London .	http://www.wikidata.org/entity/Q25893856	Antiquarian Museum, Caerleon	1	SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Museum> ; <http://dbpedia.org/ontology/location> <http://dbpedia.org/resource/London> }
Q35	Was Sigmund Freud married ?	key exception	key exception	returned no answer	What was the marital status of Sigmund Freud ?			0	Did Sigmund Freud's marriage happen ?	key exception	key exception	1	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX dbr: <http://dbpedia.org/resource/> ASK WHERE { dbr:Sigmund_Freud dbo:spouse ?uri }
Q50	Who was married to president Chirac ?	http://www.wikidata.org/entity/Q2105	Jacques Chirac	0	What was the name of president Chirac's wife?			0	Whom Predident Chirac married to?	http://www.wikidata.org/entity/Q47462256	Tina Gartz	0	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:Jacques_Chirac dbo:spouse ?uri }
Q84	How many moons does Mars have ?			returned no answer	Mars has how many moons?			returned no answer	What number of moons does Mars have ?			returned no answer	SELECT DISTINCT ?n WHERE { <http://dbpedia.org/resource/Mars> <http://dbpedia.org/property/satellites> ?n }
Q67	What form of government does Russia have ?	http://www.wikidata.org/entity/Q188759	representative democracy	1	What is the form of government in Russia?	http://www.wikidata.org/entity/Q188759	representative democracy	1	What type of government does Russia consist ?	http://www.wikidata.org/entity/Q188759	representative democracy	1	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:Russia dbo:governmentType ?uri }
Q89	Where is Fort Knox located ?	http://www.wikidata.org/entity/Q1017178	Chufut-Kale		Where is the location of Fort Knox ?	http://www.wikidata.org/entity/Q1017178	Chufut-Kale	1	Where is Fort Knox situated ?	http://www.wikidata.org/entity/Q983650	Fort Knox	0	SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Fort_Knox> <http://dbpedia.org/ontology/location> ?uri. ?uri a <http://dbpedia.org/ontology/Place>. }
Q5	Give me all actors who were born in Paris after 1950 .	key exception	key exception		Give me all actors whose birthplace is Paris and are born post 1950 .	key exception	key exception	1	Give me the names of actors born after 1950 in Paris .	key exception	key exception	0	SELECT DISTINCT ?uri WHERE { ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Actor> . ?uri <http://dbpedia.org/ontology/birthPlace> <http://dbpedia.org/resource/Paris> . ?uri <http://dbpedia.org/ontology/birthDate> ?date . FILTER ( ?date >= xsd:dateTime('1950-12-31T00:00:00Z')) }
Q83	Which professional surfers were born in Australia ?	http://www.wikidata.org/entity/Q3960	Australia		Give the name of the professional surfers who wre born in Australia ?			0	Which expert surfers were born in Australia ?	http://www.wikidata.org/entity/Q3960	Australia	1	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX dbr: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { { ?uri dbo:occupation res:Surfer ; dbo:birthPlace res:Australia } UNION { ?uri dbo:occupation res:Surfer ; dbo:birthPlace ?place . ?place dbo:country res:Australia } }
Q58	Where is Syngman Rhee buried ?	http://www.wikidata.org/entity/Q488897	Seoul National Cemetery		where did Syngman Rhee last rituals take place?	http://www.wikidata.org/entity/Q1904	Ontario	0	Where did Syngman Rhee die?	http://www.wikidata.org/entity/Q18094	Honolulu	0	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:Syngman_Rhee dbo:restingPlace ?uri }
Q46	What is the official language of Suriname ?	http://www.wikidata.org/entity/Q7411	Dutch		Tell me the name of the official language of Surinam.	http://www.wikidata.org/entity/Q7411	Dutch	1	What formal language is followed by people of Suriname	http://www.wikidata.org/entity/Q18615019	Curiosity	0	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:Suriname dbo:officialLanguage ?uri }
Q52	Give me the birth place of Frank Sinatra .	http://www.wikidata.org/entity/Q138578	Hoboken		where was  Frank Sinatra  born?	http://www.wikidata.org/entity/Q138578	Hoboken	1	Where was Frank Sinatra born?	http://www.wikidata.org/entity/Q138578	Hoboken	1	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?place WHERE { res:Frank_Sinatra dbo:birthPlace ?place }
Q18	What is the smallest city by area in Germany ?				Which city in Germany is smallest by area ?			returned no answer	What is the name of smallest size city in Germany ?	http://www.wikidata.org/entity/Q18280904	Werk°Stadt	0	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX skos: <http://www.w3.org/2004/02/skos/core#> PREFIX dbc: <http://dbpedia.org/resource/Category:> PREFIX dct: <http://purl.org/dc/terms/> SELECT ?city WHERE { ?m skos:broader dbc:Cities_in_Germany . ?city dct:subject ?m ; dbo:areaTotal ?area } ORDER BY ?area LIMIT 1
Q34	How large is the area of UK ?				How much is the area of UK ?			returned no answer	What is the area of  UK ?	http://www.wikidata.org/entity/Q17371858	Rita Kindlerová	0	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX dbr: <http://dbpedia.org/resource/> SELECT ?area WHERE { dbr:United_Kingdom dbo:areaTotal ?area }
Q53	Who is the oldest child of Meryl Streep ?	http://www.wikidata.org/entity/Q17711441	Mary Wilkinson Streep		Who is  Meryl Streep's first child ?	http://www.wikidata.org/entity/Q17711441	Mary Wilkinson Streep	1	Among four who do you think Meryl Streep's oldest child?	http://www.wikidata.org/entity/Q15052227	Henry Wolfe Gummer	0	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:Meryl_Streep dbo:child ?uri . ?uri dbo:birthDate ?d } ORDER BY ASC(?d) OFFSET 0 LIMIT 1
Q91	Where did Abraham Lincoln die ?				In which place did Abraham Lincoln die?			returned no answer	Name the place where Abraham Lincoln passed away .			returned no answer	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> SELECT DISTINCT ?uri WHERE { res:Abraham_Lincoln dbo:deathPlace ?uri. }
Q100	How many companies were founded by the founder of Facebook ?				What other companies were founded by the founder of Facebook?			returned no answer	What is the count of companies founded by the Facebook founder ?			returned no answer	SELECT (COUNT(DISTINCT ?x) AS ?c) WHERE { <http://dbpedia.org/resource/Facebook> <http://dbpedia.org/ontology/foundedBy> ?uri . ?x <http://dbpedia.org/ontology/foundedBy> ?uri }
Q41	Who composed the soundtrack for Cameron 's Titanic ?	http://www.wikidata.org/entity/Q106221	James Horner		Who is the composer of the soundtrack of Cameron's Titanic?	http://www.wikidata.org/entity/Q106221	James Horner	1	Who composed music for famous Cameron 's Titanic ?	http://www.wikidata.org/entity/Q2298011	Avatar: Music from the Motion Picture	0	PREFIX dbo: <http://dbpedia.org/ontology/> SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Titanic_(1997_film)> dbo:musicComposer ?uri }
Q97	When did princess Diana die ?				How many years ago did princess Diana die?			returned no answer	Give the date when princess Diana died ?			returned no answer	SELECT DISTINCT xsd:date(?d) WHERE { <http://dbpedia.org/resource/Diana,_Princess_of_Wales> <http://dbpedia.org/ontology/deathDate> ?d }
Q37	How often did Jane Fonda marry ?	http://www.wikidata.org/entity/Q193368	Ted Turner		How many times did Jane Fonda marry ?			0	How many spouses did Jane Fonda has ?			0	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT (COUNT(DISTINCT ?uri) AS ?c) WHERE { res:Jane_Fonda dbo:spouse ?uri }
Q54	Which television shows were created by Walt Disney ?	http://www.wikidata.org/entity/Q1171651	The Ultimate Christmas Present		what all tv series Walt Disney create ?			0	Name all the Walt Disney's created television shows 			0	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT DISTINCT ?uri WHERE { ?uri rdf:type dbo:TelevisionShow ; dbo:creator res:Walt_Disney }
Q7	Which beer originated in Ireland ?	http://www.wikidata.org/entity/Q1247741	Go on home British soldiers		name that beer that is born in Ireland ?			0	What is the name of the beer that originated from Ireland ?	http://www.wikidata.org/entity/Q22890	Ireland	0	SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/property/type> <http://dbpedia.org/resource/Beer> ; <http://dbpedia.org/ontology/origin> <http://dbpedia.org/resource/Beer_in_Ireland> }
Q59	Show me all books in Asimov 's Foundation series .	http://www.wikidata.org/entity/Q277759	book series		List all the books in Asimov 's Foundation series .	http://www.wikidata.org/entity/Q277759	book series	1	List all the books in Asimov 's Foundation series .	http://www.wikidata.org/entity/Q277759	book series	1	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { ?uri dbo:series res:Foundation_series }
Q88	When is the movie Worst Case Scenario going to be in cinemas in the Netherlands ?	http://www.wikidata.org/entity/Q6667101	Worst Case Scenario		When will the movie Worst Case Scenario hit cinemas in the Netherlands ?	http://www.wikidata.org/entity/Q6667101	Worst Case Scenario	1	What is the released date of movie Worst Case Scenario in cinema in the Netherlands ?			0	"PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX dbr: <http://dbpedia.org/resource/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX foaf: <http://xmlns.com/foaf/0.1/> SELECT DISTINCT ?rel WHERE { <http://dbpedia.org/resource/Worst_Case_Scenario_(film)> ?p ?o ; dbo:releaseDate ?rel FILTER contains(lcase(str(?o)), \""netherlands\"") }"
Q42	Is James Bond married ?	http://www.wikidata.org/entity/Q2130544	Tracy Bond		Does James Bond have a spouse?	http://www.wikidata.org/entity/Q2130544	Tracy Bond	1	Is James Bond not married?	http://www.wikidata.org/entity/Q2130544	Tracy Bond	1	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> ASK WHERE { res:James_Bond dbo:spouse ?uri }
Q56	Which scientist is known for the Manhattan Project and the Nobel Peace Prize ?	http://www.wikidata.org/entity/Q219982	Joseph Rotblat		which scientist is famous for Manhattan Project and has won Nobel Peace Prize ?	http://www.wikidata.org/entity/Q11613	Harry S. Truman	0	Name the famous scientist behind Manhattan Project and also Nobel Peace Prize	http://www.wikidata.org/entity/Q219982	Joseph Rotblat	1	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT DISTINCT ?uri WHERE { ?uri dbo:knownFor res:Manhattan_Project ; rdf:type dbo:Scientist ; dbo:knownFor res:Nobel_Peace_Prize }
Q1	Who is the mayor of New York City ?	http://www.wikidata.org/entity/Q4911497	Bill de Blasio		who is current mayor of  New York City ?	http://www.wikidata.org/entity/Q4911497	Bill de Blasio	1	What is the name of current New Yyork City mayor ? 	http://www.wikidata.org/entity/Q55069059	Yvonne Mosquito	0	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:New_York_City dbo:leaderName ?uri }
Q11	How many airlines are members of the Star Alliance ?				What number of airlines are part of the Star Alliance ?			returned no answer	Number of airlines those are part of the Star Alliance !			returned no answer	SELECT (COUNT(DISTINCT ?uri) AS ?c) WHERE { ?uri a <http://dbpedia.org/ontology/Airline> ; <http://dbpedia.org/ontology/alliance> <http://dbpedia.org/resource/Star_Alliance> }
Q14	When did Latvia join the EU ?				When did Latvia become part of the EU? 			returned no answer	When did Latvia become part of the EU ?			returned no answer	SELECT DISTINCT ?date WHERE { <http://dbpedia.org/resource/Latvia> <http://dbpedia.org/property/accessioneudate> ?date }
Q20	What is the second highest mountain on Earth ?	http://www.wikidata.org/entity/Q14081	Chimborazo		Which mountain is the second highest on Earth ? 	http://www.wikidata.org/entity/Q14081	Chimborazo	1	What is next to tallest mountain on Earth ?	http://www.wikidata.org/entity/Q14081	Chimborazo	1	SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Mountain> ; <http://dbpedia.org/ontology/elevation> ?elevation } ORDER BY DESC(?elevation) OFFSET 1 LIMIT 1
Q15	Which soccer players were born on Malta ?	http://www.wikidata.org/entity/Q2578561	Sam Magri		Which soccer players has Malta as birth place?			0	Who are the soccer players come from Malta ?	http://www.wikidata.org/entity/Q2578561	Sam Magri	1	SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/SoccerPlayer> ; <http://dbpedia.org/ontology/birthPlace> <http://dbpedia.org/resource/Malta> }
Q47	In which city did Nikos Kazantzakis die ?	http://www.wikidata.org/entity/Q8167	Freiburg Government Region		Where did Nikos Kazantzakis die?	http://www.wikidata.org/entity/Q2833	Freiburg im Breisgau	0	In which city Nikos Kazantzakis breathe his last breath?	http://www.wikidata.org/entity/Q123258	Fukuoka Prefecture	0	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT DISTINCT ?uri WHERE { res:Nikos_Kazantzakis dbo:deathPlace ?uri . ?uri rdf:type dbo:Town }
Q94	Is the wife of President Obama called Michelle ?	http://www.wikidata.org/entity/Q13133	Michelle Obama		Is Michelle the name of President  Obama's  wife?	http://www.wikidata.org/entity/Q13133	Michelle Obama	1	Is Michelle spouse of President Obama ?	http://www.wikidata.org/entity/Q13133	Michelle Obama	1	"PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> ASK WHERE { res:Barack_Obama dbo:spouse ?spouse . ?spouse rdfs:label ?name FILTER regex(?name, \""Michelle\"") }"
Q69	Where in France is sparkling wine produced ?	http://www.wikidata.org/entity/Q26953488	Michel Olivier Sparkling Wines		Sparkling wine is produced in which area of  France?			0	What location in France is known for making of sparkling wine ?			0	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { ?uri dbo:wineProduced res:Sparkling_wine ; dbo:location res:France }
Q86	Who was influenced by Socrates ?	http://www.wikidata.org/entity/Q171303	Zeno of Citium		Whom did Socrates influenced ?	http://www.wikidata.org/entity/L182	influence	0	Socrates influenced whom?	http://www.wikidata.org/entity/Q913	Socrates	0	SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/ontology/influencedBy> <http://dbpedia.org/resource/Socrates> 
Q43	Does the Isar flow into a lake ?	key exception	key exception		Where does the Isar end?			0	Does not the river Isar finally end into a sea or ocean ?	key exception	key exception	0	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> ASK WHERE { ?x dbo:inflow res:Isar ; rdf:type dbo:Lake }
Q3	Who created the comic Captain America ?	http://www.wikidata.org/entity/Q311607	Jack Kirby		who broght  Captain America into existence?	http://www.wikidata.org/entity/Q2345627	Hal Jordan	0	Name the person who created the comic Captain America ?			0	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:Captain_America dbo:creator ?uri }
Q38	Which cities does the Weser flow through ?	http://www.wikidata.org/entity/Q1197	Lower Saxony		Which cities does the Weser passes through ?	http://www.wikidata.org/entity/Q1197	Lower Saxony	1	list the cities throught which Weser flows through ?	http://www.wikidata.org/entity/Q19686	River Thames	0	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:Weser dbo:city ?uri }
Q85	When did Michael Jackson die ?				Which year did Michael Jackson die ?			returned no answer	When was the death of Michael Jackson? 			returned no answer	SELECT DISTINCT ?date WHERE { <http://dbpedia.org/resource/Michael_Jackson> <http://dbpedia.org/ontology/deathDate> ?date }
Q10	Which films starring Clint Eastwood did he direct himself ?	http://www.wikidata.org/entity/Q104137	Unforgiven		list films which have  Clint Eastwood as both actor and director	http://www.wikidata.org/entity/Q106775	Richard Harris	0	Name the films directed by Clint Eastwood where he was also actor ?			0	SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/ontology/director> <http://dbpedia.org/resource/Clint_Eastwood> ; <http://dbpedia.org/ontology/starring> <http://dbpedia.org/resource/Clint_Eastwood> }
Q8	Give me all actors who were born in Berlin .	http://www.wikidata.org/entity/Q1753383	Lew Cody		list actors whose birthplace is  Berlin .	http://www.wikidata.org/entity/Q772458	Połczyn-Zdrój	0	List out all actors who have their birth place as Berlin .			0	SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Actor> ; <http://dbpedia.org/ontology/birthPlace> <http://dbpedia.org/resource/Berlin> }
Q95	Who is the governor of Texas ?	http://www.wikidata.org/entity/Q5605224	Greg Abbott		What is the name of the governor of Texas?	http://www.wikidata.org/entity/Q306749	Abbott	0	Who is Texas governor ?	http://www.wikidata.org/entity/Q5605224	Greg Abbott	1	PREFIX res: <http://dbpedia.org/resource/> PREFIX dbp: <http://dbpedia.org/property/> SELECT DISTINCT ?string WHERE { res:Texas dbp:governor ?string }
Q16	How many politicians graduated from Columbia University ?				What  number of politicians graduated from Columbia University ?			returned no answer	How many politicians' alma-mater is Columbia University ?			returned no answer	SELECT (COUNT(DISTINCT ?uri) AS ?c) WHERE { ?uri <http://dbpedia.org/ontology/profession> <http://dbpedia.org/resource/Politician> ; <http://dbpedia.org/ontology/almaMater> <http://dbpedia.org/resource/Columbia_University> }
Q60	Who is the host of the BBC Wildlife Specials ?	http://www.wikidata.org/entity/Q4835015	BBC Wildlife Specials		BBC Wildlife Specials was presented by? 	http://www.wikidata.org/entity/Q4835015	BBC Wildlife Specials	1	Can you please tell me the name of the host of BBC Wildlife Specials ?	key exception	key exception	0	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:BBC_Wildlife_Specials dbo:presenter ?uri }
Q82	What is the longest river in China ?	http://www.wikidata.org/entity/Q1012627	Si River		The longest river in China is known by what name?			0	Which river is longest in China ?	http://www.wikidata.org/entity/Q1012627	Si River	1	SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/River> ; <http://dbpedia.org/ontology/country> <http://dbpedia.org/resource/China> ; <http://dbpedia.org/property/length> ?l } ORDER BY DESC(?l) OFFSET 0 LIMIT 1
Q87	Who was the father of Queen Elizabeth II ?	http://www.wikidata.org/entity/Q280856	George VI		What is the name of the father of Queen Elizabeth II ?	http://www.wikidata.org/entity/Q280856	George VI	1	Queen Elizabeth II was daughter of ?	http://www.wikidata.org/entity/Q10633	Queen Elizabeth The Queen Mother	0	"PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT * WHERE { res:Elizabeth_II dbo:parent ?uri . ?uri <http://xmlns.com/foaf/0.1/gender> \""male\""@en }"
Q66	What is the capital of Canada ?	http://www.wikidata.org/entity/Q1930	Ottawa		Which city is the capital of  Canada ?	http://www.wikidata.org/entity/Q1904	Ontario	0	What is the name of Canada capital city ?			0	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:Canada dbo:capital ?uri }
